id_comuna,id_region,nombre_comuna,poblacion
217,21009,San Fabian,4308
218,21009,San Nicolas,11603
219,21010,Concepción,223574
220,21010,Coronel,116262
221,21010,Chiguayante,85938
222,21010,Florida,10624
223,21010,Hualqui,24333
224,21010,Lota,43535
225,21010,Penco,47367
226,21010,San Pedro de la Paz,131808
227,21010,Santa Juana,13749
228,21010,Talcahuano,151749
229,21010,Tomé,54946
230,21010,Hualpen,91773
231,21010,Lebu,25522
232,21010,Arauco,36257
233,21010,Cañete,34537
234,21010,Contulmo,6031
235,21010,Curanilahue,32288
236,21010,Los Alamos,21035
237,21010,Tirua,10417
238,21010,Los Ángeles,202331
239,21010,Antuco,4073
240,21010,Cabrero,28573
241,21010,Laja,22389
242,21010,Mulchen,29627
243,21010,Nacimiento,26315
244,21010,Negrete,9737
245,21010,Quilaco,3988
246,21010,Quilleco,9587
247,21010,San Rosendo,3412
248,21010,Santa Bárbara,13773
249,21010,Tucapel,14134
250,21010,Yumbel,21198
251,21010,Alto Bio Bio,5923
252,21011,Temuco,282415
253,21011,Carahue,24533
254,21011,Cunco,17526
255,21011,Curarrehue,7489
256,21011,Freire,24606
257,21011,Galvarino,11996
258,21011,Gorbea,14414
259,21011,Lautaro,38013
260,21011,Loncoche,23612
261,21011,Melipeuco,6138
262,21011,Nueva Imperial,32510
263,21011,Padre Las Casas,76126
264,21011,Perquenco,6905
265,21011,Pitrufquén,24837
266,21011,Pucón,28523
267,21011,Saavedra,12450
268,21011,Teodoro Schmidt,15045
269,21011,Tolten,9722
270,21011,Vilcun,28151
271,21011,Villarrica,55478
272,21011,Cholchol,11611
273,21011,Angol,53262
274,21011,Colipulli,24598
275,21011,Caracautin,17413
276,21011,Ercilla,7733
277,21011,Lonquimay,10251
278,21011,Los Sauces,7265
279,21011,Lumaco,9548
280,21011,Purén,11779
281,21011,Renaico,10250
282,21011,Traiguen,18843
283,21011,Victoria,34182
284,21012,Valdivia,16608
285,21012,Corral,5302
286,21012,Lanco,16752
287,21012,Los Lagos,19634
288,21012,Mafil,7095
289,21012,Mariquina,21278
290,21012,Paillaco,20188
291,21012,Panguipulli,34539
292,21012,La Unión,38036
293,21012,Futrono,14665
294,21012,Lago Ranco,9896
295,21012,Rio Bueno,31372
296,21013,Puerto Montt,245902
297,21013,Calbuco,33985
298,21013,Cochamó,4023
299,21013,Fresia,12261
300,21013,Frutillar,18428
301,21013,Los Muermos,17068
302,21013,Llanquihue,17591
303,21013,Maullin,14216
304,21013,Puerto Varas,44578
305,21013,Castro,43807
306,21013,Ancud,38991
307,21013,Chonchi,14858
308,21013,Curaco de Vélez,3829
309,21013,Dalcahue,13762
310,21013,Puqueldon,3921
311,21013,Queilen,5385
312,21013,Quellón,27192
313,21013,Quemchi,8352
314,21013,Quinchao,8088
315,21013,Osorno,161460
316,21013,Puerto Octay,8999
317,21013,Purranque,20369
318,21013,Puyehue,11667
319,21013,Río Negro,14085
320,21013,San Juan de la Costa,7512
321,21013,San Pablo,10030
322,21014,Chaiten,5071
323,21014,Futaleufu,2623
324,21014,Hualaihuie,8944
325,21014,Palena,1711
326,21014,Coyhaique,57818
327,21014,Lago Verde,852
328,21014,Aysén,23959
329,21014,Cisnes,6517
330,21014,Guaitecas,1843
331,21014,Cochrane,3490
332,21014,O'Higgins,625
333,21014,Tortel,523
334,21014,Chile Chico,4865
335,21014,Río Ibañez,2666
336,21015,Punta Arenas,131592
337,21015,Laguna Blanca,165099
338,21015,Río Verde,165099
339,21015,San Gregorio,799
340,21015,Cabo de Hornos,2063
342,21015,Porvenir,6801
343,21015,Primavera,1158
344,21015,Timaukel,165099
345,21015,Natales,21477
346,21015,Torres Del Paine,1209
341,21016,Antártica,165099
