id_institucion,id_comuna,nombre_institucion,nivel,afiliacion_institucion
10094,83,Colegio Industrial Vasco Nunez De Balboa,Basico/Medio,Privada
10095,83,Colegio Poliv. Manuel Baquedano,Basico/Medio,Privada
10096,83,Colegio Lorenzo Sazie,Basico/Medio,Publica
10097,83,Colegio San Antonio,Basico/Medio,Privada
10098,83,Instituto Comercial Part.Arturo Prat,Basico/Medio,Privada
10099,83,Colegio Francisco Arriaran,Basico/Medio,Publica
10100,83,Escuela Particular Francisco Andres Olea,Basico/Medio,Publica
10101,83,Liceo Polivalente Italia,Basico/Medio,Privada
10102,83,Escuela Particular Guillermo Matta,Basico/Medio,Publica
10103,83,Instituto Hermanos Matte,Basico/Medio,Publica
10104,83,Escuela Basica N°43 Patronato San Antonio,Basico/Medio,Publica
10105,83,Colegio Santa Isabel,Basico/Medio,Publica
10106,83,Escuela Basica Bernardo O'Higgins,Basico/Medio,Privada
10107,83,Colegio Bicentenario Victoria Prieto,Basico/Medio,Publica
10108,83,Colegio Filipense,Basico/Medio,Privada
10109,83,Escuela Particular San Lazaro,Basico/Medio,Publica
10110,83,Colegio Santa Teresita Del Nino Jesus,Basico/Medio,Publica
10111,83,Escuela Manuel Jose Irarrazaval,Basico/Medio,Publica
10112,83,Colegio Adventista Porvenir,Basico/Medio,Privada
10113,83,Colegio Oratorio Don Bosco,Basico/Medio,Privada
10114,83,Esc.Basica Part.Britania Centro,Basico/Medio,Privada
10115,83,Escuela Basica N°1319 David Matarasso 2,Basico/Medio,Privada
10116,83,Escuela Basica Arturo Prat,Basico/Medio,Privada
10117,83,Escuela Particular Saint Henry School,Basico/Medio,Publica
10118,83,Escuela Particular Especial Cedin,Basico/Medio,Publica
10119,83,Escuela Particular Divina Maria,Basico/Medio,Publica
10120,83,Colegio Maria Luisa Villalon,Basico/Medio,Privada
10121,83,Colegio Instituto Alonso De Ercilla,Basico/Medio,Privada
10122,83,Colegio Instituto Zambrano,Basico/Medio,Privada
10123,83,Colegio Hispano Americano,Basico/Medio,Privada
10124,83,Colegio Saint Rose School,Basico/Medio,Privada
10125,83,Colegio Excelsior,Basico/Medio,Privada
10126,83,Colegio De Los Sagrados Corazones Alameda,Basico/Medio,Privada
10127,83,Liceo  Maria Auxiliadora,Basico/Medio,Privada
10128,83,Colegio Santa Cecilia,Basico/Medio,Privada
10129,83,Colegio Saint Rose School,Basico/Medio,Privada
10130,83,Colegio Santa Elena Carmelitas Misioneras Teresiana,Basico/Medio,Privada
10131,83,Colegio De Adultos Centro De Estudios La Araucana,Basico/Medio,Privada
10132,83,Colegio Juan Bosco,Basico/Medio,Privada
10133,83,Liceo Jose Miguel Carrera,Basico/Medio,Privada
10134,83,Colegio Cambridge,Basico/Medio,Privada
10135,83,Colegio Luis Enrique Izquierdo,Basico/Medio,Privada
10136,83,Escuela Manuel Montt,Basico/Medio,Publica
10137,83,Escuela Basica Particular Sta Bernardita,Basico/Medio,Privada
10138,83,Colegio Ignacio Serrano,Basico/Medio,Privada
10139,83,Escuela Basica English High School,Basico/Medio,Privada
10140,83,Escuela Basica Continental School,Basico/Medio,Privada
10141,83,Colegio Filipense,Basico/Medio,Privada
10142,83,Colegio Diego De Almagro,Basico/Medio,Privada
10143,83,Escuela Basica Antonio Borquez Solar,Basico/Medio,Privada
10144,83,Escuela De Parvulos Pelusin,Basico/Medio,Privada
10145,83,Escuela De Parvulos N°1146 Heyddie,Basico/Medio,Privada
10146,83,Liceo Profesional Abdon Cifuentes,Basico/Medio,Privada
10147,83,Liceo Industrial De La Construccion Victor Bezanilla Salinas,Basico/Medio,Publica
10148,83,Liceo Industrial A-22 De Santiago,Basico/Medio,Publica
10149,83,Colegio De Adultos Instituto Luisa Cardijin,Basico/Medio,Privada
10150,83,Colegio Metodista,Basico/Medio,Privada
10151,83,Escuela Especial Particular La Rosa Azul,Basico/Medio,Privada
10152,83,Colegio Instituto Artístico De Estudios Secundarios De La Universidad De Chile,Basico/Medio,Privada
10153,83,Colegio Lord Cochrane,Basico/Medio,Publica
10154,83,Colegio De Adultos Yanquiray,Basico/Medio,Privada
10155,83,Escuela Basica Maria Auxiliadora,Basico/Medio,Privada
10156,83,Colegio  Pedro De Valdivia-Agustinas,Basico/Medio,Privada
10157,83,Complejo Educacional Americano,Basico/Medio,Privada
10158,83,Escuela Maria Teresa School Num 2,Basico/Medio,Publica
10159,83,Colegio San Francisco De Asis De Belen,Basico/Medio,Publica
10160,83,Escuela Especial N° 2430 San Alberto Hurtado,Basico/Medio,Privada
10161,83,"Escuela  Especial N° 2449,  `De La  Merced`",Basico/Medio,Privada
10162,83,Colegio De Adultos Pulmahue,Basico/Medio,Privada
10163,83,Fundacion Duoc,Basico/Medio,Privada
10164,83,Colegio Particular Gratuito Fontanar,Basico/Medio,Privada
10165,83,Escuela Santa Familia,Basico/Medio,Privada
10166,83,Liceo Santa Maria,Basico/Medio,Privada
10167,83,Escuela Basica Nuevo Hispano Chileno,Basico/Medio,Privada
10168,83,Escuela Basica Part.Blas Canas,Basico/Medio,Publica
10169,83,Anexo Escuela De Menores,Basico/Medio,Privada
10170,83,Miguel De Cervantes Y Saavedra Anexo A-8,Basico/Medio,Publica
10171,83,Liceo Miguel De Cervantes Y Saavedra,Basico/Medio,Publica
10172,83,Miguel De Cervantes Y Saavedra  Anexo,Basico/Medio,Privada
10173,83,Escuela Particular Metodista N 2,Basico/Medio,Privada
10174,83,Diego De Almagro,Basico/Medio,Privada
10175,83,Escuela Especial Particular Conidem,Basico/Medio,Privada
10176,83,Escuela Nacional De Capacitacion Enac,Basico/Medio,Privada
10177,83,Colegio Corp. Educacional 18 De Septiembre,Basico/Medio,Privada
10178,83,Coeducacional Gabriela Mistral,Basico/Medio,Privada
10179,83,Colegio De Adultos Instituto Norel Gavac,Basico/Medio,Privada
10180,83,Colegio De Adultos Instituto Tabancura Sede Londres,Basico/Medio,Privada
10181,83,Instituto Tabancura,Basico/Medio,Privada
10182,83,Inst De Educ Y Capacit De Adultos Prem,Basico/Medio,Privada
10183,83,Liceo De Adultos Part.Fermin Vivaceta,Basico/Medio,Publica
10184,83,Centro De Educ. Continua De La U. Mayor,Basico/Medio,Privada
10185,83,Instituto Educacional Colo Colo,Basico/Medio,Privada
